feature,correlation,abs_correlation,p_value
oibdp_over_mktcap,0.10556394922864848,0.10556394922864848,2.610148252261969e-45
ebitda_over_mktcap,0.10556394922864848,0.10556394922864848,2.610148252261969e-45
dpvieb_over_mktcap,0.09702865685107377,0.09702865685107377,1.6182016424091523e-38
oancf_over_mktcap,0.0965293299697085,0.0965293299697085,3.877192449450475e-38
ppegt_over_mktcap,0.09361738791348784,0.09361738791348784,5.785147341684029e-36
ppeveb_over_mktcap,0.09357229532726573,0.09357229532726573,6.243814557515867e-36
dpact_over_mktcap,0.09314654153757189,0.09314654153757189,1.2809064743102398e-35
ppent_over_mktcap,0.09184123579840203,0.09184123579840203,1.135961023742438e-34
oancf_over_emp,0.09035406327138634,0.09035406327138634,1.3149343737564212e-33
oibdp_over_emp,0.08971844055781247,0.08971844055781247,3.6995702861022874e-33
ebitda_over_emp,0.08971844055781247,0.08971844055781247,3.6995702861022874e-33
dp_over_mktcap,0.08697841013002358,0.08697841013002358,2.9401691422960266e-31
ppegt_over_xsga,0.08689266345151636,0.08689266345151636,3.3642288590134115e-31
ppeveb_over_xsga,0.08651640156479762,0.08651640156479762,6.06683872976007e-31
dpvieb_over_xsga,0.08506016355345487,0.08506016355345487,5.8019518136037986e-30
dpact_over_xsga,0.08506016355345487,0.08506016355345487,5.8019518136037986e-30
gp_over_mktcap,0.08416711856617319,0.08416711856617319,2.2735626832967395e-29
ppent_over_at,0.08370851391452179,0.08370851391452179,4.558975684643795e-29
ppegt_over_at,0.08364856930892031,0.08364856930892031,4.9916147939768976e-29
capxv_over_mktcap,0.08346143764331251,0.08346143764331251,6.621779309987737e-29
capx_over_mktcap,0.08341178283390649,0.08341178283390649,7.136670004506204e-29
ppeveb_over_at,0.08330373191078598,0.08330373191078598,8.398383335042825e-29
ni_over_emp,0.08156646403714565,0.08156646403714565,1.1178165426054332e-27
ppent_over_xsga,0.08153538681169589,0.08153538681169589,1.1702138435107801e-27
