year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.28439849732644923,-0.29570489328344424,0.5801033906098935,100,100,500000.0,500000.0,5000.0,5000.0,142199.2486632246,-147852.4466417221,-5653.197978497512,-0.005653197978497512
2014.0,0.07549618635226038,-0.06377413300211832,0.1392703193543787,100,100,500000.0,500000.0,5000.0,5000.0,37748.09317613019,-31887.06650105916,5861.0266750710325,0.005861026675071032
2015.0,-0.05136167559454767,0.20069858453779976,-0.25206026013234745,100,100,500000.0,500000.0,5000.0,5000.0,-25680.837797273834,100349.29226889988,74668.45447162604,0.07466845447162604
2016.0,0.24034436403076057,-0.2817745715878037,0.5221189356185643,100,100,500000.0,500000.0,5000.0,5000.0,120172.18201538028,-140887.28579390186,-20715.103778521574,-0.020715103778521576
2017.0,0.2402844162711836,-0.1316687657710397,0.3719531820422233,100,100,500000.0,500000.0,5000.0,5000.0,120142.2081355918,-65834.38288551985,54307.82525007195,0.05430782525007195
2018.0,-0.09200603376789525,0.1479428530077613,-0.23994888677565657,100,100,500000.0,500000.0,5000.0,5000.0,-46003.016883947625,73971.42650388065,27968.409619933023,0.027968409619933025
2019.0,0.043850132356321396,0.0672425081781779,-0.0233923758218565,100,100,500000.0,500000.0,5000.0,5000.0,21925.066178160698,33621.25408908895,55546.32026724965,0.05554632026724965
2020.0,0.42568464331042905,-0.9178725482615657,1.3435571915719948,100,100,500000.0,500000.0,5000.0,5000.0,212842.32165521453,-458936.27413078287,-246093.95247556834,-0.24609395247556834
2021.0,-0.21512476645682915,0.41899055322677037,-0.6341153196835996,100,100,500000.0,500000.0,5000.0,5000.0,-107562.38322841458,209495.27661338518,101932.89338497061,0.10193289338497061
2022.0,-0.05564451643723995,0.006265494055710495,-0.061910010492950446,100,100,500000.0,500000.0,5000.0,5000.0,-27822.258218619976,3132.747027855248,-24689.51119076473,-0.02468951119076473
2023.0,0.10438285459520516,0.040737062222732226,0.06364579237247293,100,100,500000.0,500000.0,5000.0,5000.0,52191.42729760258,20368.531111366112,72559.9584089687,0.0725599584089687
2024.0,0.08890744636090372,-0.022157336889102472,0.1110647832500062,100,100,500000.0,500000.0,5000.0,5000.0,44453.72318045186,-11078.668444551236,33375.05473590062,0.033375054735900626
