year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,avg_long_months_held,avg_short_months_held,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3045991356738722,-0.2420392936298479,0.5466384293037201,272,100,9,3.308823529411765,24,24.0,11.849264705882353,11.0,500000.0,500000.0,1838.235294117647,5000.0,152299.5678369361,-121019.64681492395,31279.921022012146,0.031279921022012144
2014.0,0.05094062266118835,0.04038818987395782,0.010552432787230531,280,100,46,16.428571428571427,11,11.0,11.1,11.49,500000.0,500000.0,1785.7142857142858,5000.0,25470.311330594177,20194.09493697891,45664.40626757308,0.04566440626757308
2015.0,-0.10564316278437733,0.1770192948334832,-0.2826624576178605,283,100,56,19.78798586572438,9,9.0,10.84452296819788,11.72,500000.0,500000.0,1766.7844522968198,5000.0,-52821.581392188666,88509.6474167416,35688.066024552936,0.035688066024552934
2016.0,0.2782767453863799,-0.1627224207281393,0.4409991661145192,277,100,14,5.054151624548736,23,23.0,11.794223826714802,11.05,500000.0,500000.0,1805.0541516245487,5000.0,139138.37269318997,-81361.21036406966,57777.162329120314,0.057777162329120314
2017.0,0.24371354456152364,-0.15458334653197187,0.39829689109349553,273,100,16,5.86080586080586,24,24.0,11.816849816849818,10.72,500000.0,500000.0,1831.5018315018315,5000.0,121856.77228076181,-77291.67326598593,44565.099014775886,0.044565099014775886
2018.0,-0.07665701078490463,0.14405289792959025,-0.22070990871449486,273,100,54,19.78021978021978,22,22.0,11.003663003663004,10.81,500000.0,500000.0,1831.5018315018315,5000.0,-38328.50539245231,72026.44896479513,33697.94357234282,0.03369794357234282
2019.0,-0.05288121823462279,-0.10745928587560286,0.05457806764098007,271,100,50,18.45018450184502,46,46.0,11.07011070110701,10.01,500000.0,500000.0,1845.018450184502,5000.0,-26440.609117311393,-53729.64293780143,-80170.25205511283,-0.08017025205511283
2020.0,0.5667843027346733,-0.4134886271209101,0.9802729298555835,271,100,7,2.5830258302583027,62,62.0,11.84870848708487,8.28,500000.0,500000.0,1845.018450184502,5000.0,283392.1513673366,-206744.31356045505,76647.83780688158,0.07664783780688159
2021.0,-0.19406676966199296,0.9872252684836843,-1.1812920381456773,291,100,88,30.240549828178693,6,6.0,11.003436426116838,11.68,500000.0,500000.0,1718.213058419244,5000.0,-97033.38483099648,493612.63424184214,396579.2494108457,0.3965792494108457
2022.0,0.059761693981998924,0.06925369079231047,-0.00949199681031155,297,100,80,26.936026936026934,33,33.0,10.498316498316498,10.29,500000.0,500000.0,1683.5016835016836,5000.0,29880.846990999464,34626.84539615524,64507.692387154704,0.0645076923871547
2023.0,-0.007767757803078901,0.013080934310270749,-0.02084869211334965,298,100,87,29.194630872483224,19,19.0,10.087248322147651,11.18,500000.0,500000.0,1677.8523489932886,5000.0,-3883.8789015394505,6540.467155135375,2656.5882535959245,0.0026565882535959243
2024.0,0.121380079925062,-0.10013486115519267,0.22151494108025466,288,100,35,12.152777777777777,15,15.0,11.052083333333334,10.7,500000.0,500000.0,1736.111111111111,5000.0,60690.039962531,-50067.43057759634,10622.609384934665,0.010622609384934666
