year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.37624474342829645,-0.1955571890914172,0.5718019325197137,272,100,500000.0,500000.0,1838.235294117647,5000.0,188122.37171414823,-97778.5945457086,90343.77716843963,0.09034377716843962
2014.0,-0.11000111839302777,0.09993249128909357,-0.20993360968212132,280,100,500000.0,500000.0,1785.7142857142858,5000.0,-55000.55919651389,49966.24564454678,-5034.313551967105,-0.005034313551967105
2015.0,-0.18300609670616444,0.4298546340963156,-0.61286073080248,283,100,500000.0,500000.0,1766.7844522968198,5000.0,-91503.04835308222,214927.3170481578,123424.26869507557,0.12342426869507557
2016.0,0.16954891447788545,-0.10920724730113986,0.2787561617790253,277,100,500000.0,500000.0,1805.0541516245487,5000.0,84774.45723894272,-54603.62365056993,30170.833588372792,0.030170833588372793
2017.0,0.12932394190534696,-0.03689910849640805,0.166223050401755,273,100,500000.0,500000.0,1831.5018315018315,5000.0,64661.97095267348,-18449.554248204025,46212.416704469455,0.046212416704469454
2018.0,-0.168965614953051,0.30945765984554163,-0.47842327479859265,273,100,500000.0,500000.0,1831.5018315018315,5000.0,-84482.8074765255,154728.82992277082,70246.02244624532,0.07024602244624532
2019.0,-0.06345339144734001,0.09257011155803926,-0.15602350300537926,271,100,500000.0,500000.0,1845.018450184502,5000.0,-31726.695723670004,46285.05577901963,14558.360055349629,0.014558360055349629
2020.0,0.7455558641620533,-0.9082017626645768,1.65375762682663,271,100,500000.0,500000.0,1845.018450184502,5000.0,372777.93208102667,-454100.8813322884,-81322.94925126171,-0.08132294925126171
2021.0,-0.40409734339978687,0.43141674262093177,-0.8355140860207186,291,100,500000.0,500000.0,1718.213058419244,5000.0,-202048.67169989343,215708.37131046588,13659.699610572454,0.013659699610572455
2022.0,0.004942910458053139,0.17749225354184262,-0.17254934308378947,297,100,500000.0,500000.0,1683.5016835016836,5000.0,2471.455229026569,88746.12677092131,91217.58199994788,0.09121758199994788
2023.0,-0.042702184642587494,-0.196253425545238,0.15355124090265052,298,100,500000.0,500000.0,1677.8523489932886,5000.0,-21351.09232129375,-98126.71277261901,-119477.80509391276,-0.11947780509391276
2024.0,0.07152702441637164,0.04293168690207753,0.028595337514294113,288,100,500000.0,500000.0,1736.111111111111,5000.0,35763.51220818582,21465.843451038763,57229.35565922459,0.05722935565922459
