strategy,n_years,first_year,last_year,avg_long_return,avg_short_return,avg_spread,avg_long_return_pct,avg_short_return_pct,avg_spread_pct,total_capital,avg_annual_pnl,total_pnl,total_return,total_return_pct,avg_portfolio_return,avg_annual_return_pct,spread_volatility,annualized_volatility_pct,sharpe_ratio_spread,sharpe_ratio_dollar,cagr,cagr_pct,max_drawdown,max_drawdown_pct,win_rate,win_rate_pct,positive_years,total_years,avg_stocks_long,avg_stocks_short,model,model_id,avg_long_stopped_out,avg_long_stopped_pct,avg_short_stopped_out,avg_short_stopped_pct,avg_stopped_out,avg_stopped_pct,avg_long_months_held,avg_short_months_held
Fixed 100/100,12,2013,2024,0.02413043327760241,-0.03235673683553932,0.0564871701131417,2.4130433277602408,-3.2356736835539324,5.6487170113141705,1000000,-4113.151778968448,-115931.622801792,-0.11593162280179203,-11.593162280179204,-0.004113151778968448,-0.4113151778968448,0.655333743125363,11.577728936228434,0.08619603477725381,-0.03552641283643967,-0.010215865706305505,-1.0215865706305505,-0.31360175926523587,-31.36017592652359,0.5,50.0,6,12,100.0,100.0,XGBoost,xgboost,,,,,,,,
Decile 10%/10%,12,2013,2024,0.08259821316906445,-0.06534268010398148,0.14794089327304596,8.259821316906445,-6.534268010398147,14.794089327304597,1000000,8627.766532541487,85990.66439305781,0.08599066439305791,8.59906643930579,0.008627766532541487,0.8627766532541487,0.6655133112826874,6.245889639565539,0.22229591920244207,0.13813511013527338,0.006898068254004741,0.6898068254004741,-0.11289240574816634,-11.289240574816633,0.5833333333333334,58.333333333333336,7,12,281.1666666666667,281.1666666666667,XGBoost,xgboost,,,,,,,,
Hybrid 10%/100,12,2013,2024,0.08259821316906445,-0.03235673683553932,0.11495495000460376,8.259821316906445,-3.2356736835539324,11.495495000460377,1000000,50566.29476736489,564543.010555038,0.564543010555038,56.4543010555038,0.05056629476736488,5.056629476736488,0.677018878063407,17.717088618490383,0.16979578225858205,0.2854097298728388,0.03800383700787613,3.800383700787613,-0.233139441088346,-23.3139441088346,0.5,50.0,6,12,281.1666666666667,100.0,XGBoost,xgboost,,,,,,,,
Hybrid 10%/100 (50% L/S),12,2013,2024,0.08259821316906445,-0.03235673683553932,0.11495495000460376,8.259821316906445,-3.2356736835539324,11.495495000460377,1000000,25120.738166762578,284910.4976790594,0.2849104976790593,28.491049767905928,0.02512073816676258,2.512073816676258,0.677018878063407,9.399052736778945,0.16979578225858205,0.26726882878807484,0.021110494694876802,2.1110494694876802,-0.15353969061410724,-15.353969061410725,0.6666666666666666,66.66666666666666,8,12,281.1666666666667,100.0,XGBoost,xgboost,,,,,,,,
Annual Stop Loss,12,2013,2024,0.11252588251479922,0.13104743196527643,-0.018521549450477223,11.252588251479922,13.104743196527643,-1.8521549450477224,1000000,121786.65724003785,2776608.140952996,2.776608140952996,277.6608140952996,0.1217866572400378,12.17866572400378,0.5240018079191492,10.748918469639026,-0.03534634646400878,1.1330131267069485,0.11709942194346334,11.709942194346334,-0.05343247192033099,-5.343247192033099,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,XGBoost,xgboost,41.166666666666664,14.491851899514925,15.416666666666666,15.416666666666666,56.58333333333333,14.844774814167028,,
Monthly Stop Loss,12,2013,2024,0.1102388506993797,0.09682773787362331,0.013411112825756402,11.02388506993797,9.682773787362331,1.3411112825756402,1000000,103533.29428650148,2053408.9108704855,2.0534089108704854,205.34089108704853,0.10353329428650153,10.353329428650152,0.6384789950830932,12.199106920061961,0.02100478313152815,0.8486956870280112,0.09748538968098042,9.748538968098043,-0.1200382104599527,-12.00382104599527,0.8333333333333334,83.33333333333334,10,12,281.1666666666667,100.0,XGBoost,xgboost,59.75,21.13735200761705,33.333333333333336,33.333333333333336,93.08333333333334,24.42063839090512,10.902498659349375,10.201666666666666
Fixed 100/100,12,2013,2024,-0.02772701801398156,0.011461403896255183,-0.03918842191023674,-2.7727018013981564,1.1461403896255182,-3.918842191023674,1000000,-8132.807058863189,-140438.01760113076,-0.14043801760113073,-14.043801760113073,-0.008132807058863187,-0.8132807058863187,0.6087388979883605,9.435656173678678,-0.06437640512170138,-0.08619227862022076,-0.012531842723739528,-1.2531842723739528,-0.3151283484263426,-31.51283484263426,0.5,50.0,6,12,100.0,100.0,LightGBM,lightgbm,,,,,,,,
Decile 10%/10%,12,2013,2024,0.04374313744217078,-0.03130380609170295,0.07504694353387371,4.374313744217078,-3.130380609170295,7.504694353387372,1000000,6219.665675233918,57232.784722416895,0.057232784722416996,5.7232784722417,0.006219665675233919,0.621966567523392,0.6452051857725589,5.8377063905232465,0.11631484865394198,0.10654296840503547,0.004648681262536591,0.46486812625365914,-0.09921778799460824,-9.921778799460824,0.6666666666666666,66.66666666666666,8,12,281.1666666666667,281.1666666666667,LightGBM,lightgbm,,,,,,,,
Hybrid 10%/100,12,2013,2024,0.04374313744217078,0.011461403896255183,0.03228173354591562,4.374313744217078,1.1461403896255182,3.228173354591562,1000000,33643.781054682615,358659.6522842115,0.35865965228421137,35.86596522842114,0.03364378105468261,3.364378105468261,0.6452523688468644,13.38612780986822,0.05002962422843415,0.25133318262418275,0.025870535775350145,2.5870535775350145,-0.22021288451929977,-22.021288451929976,0.5,50.0,6,12,281.1666666666667,100.0,LightGBM,lightgbm,,,,,,,,
Hybrid 10%/100 (50% L/S),12,2013,2024,0.04374313744217078,0.011461403896255183,0.03228173354591562,4.374313744217078,1.1461403896255182,3.228173354591562,1000000,27602.270669212972,349214.66870238073,0.3492146687023807,34.92146687023807,0.02760227066921298,2.760227066921298,0.6452523688468644,7.080150634207868,0.05002962422843415,0.3898542855268098,0.02527433910995147,2.527433910995147,-0.11947780509391258,-11.947780509391258,0.75,75.0,9,12,281.1666666666667,100.0,LightGBM,lightgbm,,,,,,,,
