alpha,l1_ratio,max_iter,r2_score,mse,counter,year
0.05,0.9,5000,-0.0380041008087048,0.3077124921711404,12,2013.0
0.1,0.5,5000,-0.0006831073075554,0.2963689429065564,13,2014.0
1.0,0.95,5000,-0.0475945814123528,0.2308036302964849,14,2015.0
1.0,0.95,5000,-0.2429734918236181,0.2564187254762459,15,2016.0
1.0,0.95,5000,-0.0301139287385601,0.3864194944450765,16,2017.0
0.05,0.9,5000,-0.0079965106182646,0.5051908090463241,17,2018.0
0.05,0.5,5000,-0.1593875656051195,0.247789272624153,18,2019.0
0.05,0.5,5000,-0.0052987240772839,0.5736593812324241,19,2020.0
0.0001,0.1,5000,-0.1284421732732148,2.966893817695005,20,2021.0
1.0,0.95,5000,-0.921160449331454,0.3380536414595922,21,2022.0
1.0,0.95,5000,-0.0028367008126732,0.4311820043866052,22,2023.0
1.0,0.95,5000,-0.0507903712242143,0.3990328872066371,23,2024.0
