formation_year,holding_year,long_return,short_return,spread,portfolio_return,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,cumulative_long,cumulative_short,cumulative_portfolio,total_capital,cumulative_pnl
2005.0,2006.0,5.621134054048783,-5.555479342831115,11.176613396879898,0.0328273556088341,99,58,500000.0,500000.0,5050.50505050505,8620.689655172413,2810567.0270243916,-2777739.671415557,32827.35560883442,5.621134054048783,-5.555479342831115,0.0328273556088341,1032827.3556088341,32827.35560883442
2006.0,2007.0,13.563400540054587,-13.274141983518712,26.837542523573298,0.1446292782679377,96,60,500000.0,500000.0,5208.333333333333,8333.333333333334,6781700.270027294,-6637070.991759356,144629.2782679377,95.42622725850786,54.91460025689562,0.1822044306259225,1182204.4306259225,177456.63387677213
2007.0,2008.0,-16.292328889644978,16.128514969471482,-32.42084385911646,-0.08190696008674792,92,36,500000.0,500000.0,5434.782608695652,13888.888888888889,-8146164.444822488,8064257.484735741,-81906.96008674707,-1475.5815808247519,956.7340675122506,0.0853736595122685,1085373.6595122686,95549.67379002506
2008.0,2009.0,-25.04326730727084,24.53673540090561,-49.58000270817645,-0.25326595318261447,89,40,500000.0,500000.0,5617.9775280898875,12500.0,-12521633.65363542,12268367.700452805,-253265.95318261534,35452.759114147506,24456.40146649341,-0.18951453492340864,810485.4650765914,-157716.27939259028
2009.0,2010.0,16.351136182231127,-16.39321288450099,32.74434906673211,-0.021038351134931688,90,71,500000.0,500000.0,5555.555555555556,7042.2535211267605,8175568.091115563,-8196606.442250495,-21038.35113493167,615162.0025615913,-376478.9873754398,-0.20656581272744834,793434.1872725517,-178754.63052752195
2010.0,2011.0,28.695218867319213,-28.73533877729833,57.430557644617544,-0.02005995498955926,87,70,500000.0,500000.0,5747.126436781609,7142.857142857143,14347609.433659606,-14367669.388649166,-20059.95498955995,18267399.000143703,10441743.522053266,-0.22248206681131322,777517.9331886867,-198814.5855170819
2011.0,2012.0,5.554160460106024,-5.8493173175040285,11.403477777610053,-0.14757842869900228,87,65,500000.0,500000.0,5747.126436781609,7692.307692307692,2777080.230053012,-2924658.6587520144,-147578.4286990026,119727469.78988263,-50635333.535745725,-0.3372269416765955,662773.0583234045,-346393.0142160845
2012.0,2013.0,20.682641627673714,-20.667246669548444,41.34988829722216,0.007697479062635182,92,72,500000.0,500000.0,5434.782608695652,6944.444444444444,10341320.813836858,-10333623.334774222,7697.479062635452,2596007841.124798,995857574.1751231,-0.33212525993687236,667874.7400631276,-338695.53515344905
2013.0,2014.0,22.955656183304303,-22.979492200325343,45.935148383629645,-0.01191800851051994,92,75,500000.0,500000.0,5434.782608695652,6666.666666666667,11477828.091652151,-11489746.100162672,-11918.008510520682,62189071314.10337,-21888443807.196526,-0.34008499677290605,659915.003227094,-350613.5436639697
2014.0,2015.0,7.37798437759103,-7.391547052861298,14.769531430452329,-0.006781337635133777,85,63,500000.0,500000.0,5882.35294117647,7936.507936507936,3688992.188795515,-3695773.5264306488,-6781.337635133881,521019067933.8305,139901018500.2155,-0.3445601032202794,655439.8967797206,-357394.8812991036
2015.0,2016.0,2.6748672378690324,-2.8217054919153286,5.496572729784361,-0.07341912702314812,92,61,500000.0,500000.0,5434.782608695652,8196.72131147541,1337433.618934516,-1410852.7459576642,-73419.12702314812,1914675903057.7683,-254858453729.2123,-0.39268192825798887,607318.0717420111,-430814.0083222517
2016.0,2017.0,18.237394741740083,-18.142263298183497,36.379658039923584,0.04756572177829277,93,68,500000.0,500000.0,5376.344086021505,7352.941176470588,9118697.37087004,-9071131.649091749,47565.72177829221,36833376149638.195,4368850717575.931,-0.36379440582657907,636205.5941734209,-383248.2865439595
2017.0,2018.0,13.918460796533724,-13.703457115633931,27.621917912167653,0.10750184044989641,94,65,500000.0,500000.0,5319.148936170212,7692.307692307692,6959230.398266862,-6851728.5578169655,107501.84044989664,549497278092371.6,-55499507735346.07,-0.29540113354841646,704598.8664515836,-275746.4460940629
2018.0,2019.0,8.19157452422718,-8.01817205129382,16.209746575521002,0.08670123646667971,90,66,500000.0,500000.0,5555.555555555556,7575.757575757576,4095787.26211359,-4009086.02564691,86701.23646667972,5050745182446029.0,389505094048763.0,-0.23431154061404325,765688.4593859568,-189045.20962738316
2019.0,2020.0,9.360244893426557,-10.155132705705775,19.515377599132332,-0.39744390613960867,95,61,500000.0,500000.0,5263.1578947368425,8196.72131147541,4680122.446713279,-5077566.3528528875,-397443.9061396085,5.232695698443527e+16,-3565970825564844.0,-0.538629752798417,461370.24720158306,-586489.1157669916
2020.0,2021.0,38.33110861949081,-38.28075331731002,76.61186193680084,0.02517765109039516,98,74,500000.0,500000.0,5102.040816326531,6756.756756756757,19165554.309745405,-19140376.65865501,25177.651090394706,2.0580772288822472e+18,1.3294207868460728e+17,-0.5270135336908862,472986.4663091138,-561311.4646765969
