batch_size,batching,binary_operators,maxsize,multithreading,ncycles_per_iteration,niterations,optimizer_algorithm,optimizer_nrestarts,parsimony,population_size,populations,procs,random_state,tournament_selection_n,tournament_selection_p,turbo,unary_operators,r2_score,mse,program_length,program_depth,counter,year
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0515408885063857,0.3042296870808714,334,3,5,2006.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0836872841736557,0.2646460999980048,334,3,6,2007.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.3932108178176932,0.3501639520263883,424,7,7,2008.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-2.074493561742285,0.7161630267416667,382,4,8,2009.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.9712107215107322,0.857696089004187,334,3,9,2010.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.4317840890937512,0.4772394892215734,310,1,10,2011.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.2925356562329932,0.2643673322846414,334,3,11,2012.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0238335046764859,0.3035116711454829,334,3,12,2013.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0120360309110267,0.2997313000230991,424,9,13,2014.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0031660404616324,0.221015236272551,334,3,14,2015.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0535376136321843,0.2173391258187708,334,3,15,2016.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.4893096782005268,0.558674411506251,334,3,16,2017.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0816069543971926,0.5420831189454193,340,4,17,2018.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0310138709522391,0.2203526971719142,346,4,18,2019.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.1235784422512629,0.6411540157275675,346,4,19,2020.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.2391603007240654,3.2579932959144915,346,4,20,2021.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.5416376035294097,0.2712715670705763,394,4,21,2022.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0138295821489773,0.4359085292582325,424,9,22,2023.0
50,True,"['+', '-', '*', '/']",20,True,550,20,BFGS,2,0.01,50,20,0,42,10,0.86,True,['abs'],-0.0324949395404845,0.3920852798366294,352,2,23,2024.0
