learning_rate,max_depth,n_estimators,r2_score,mse,counter,year
0.05,-1,50,0.0004333217313069,0.2963178598443438,12,2013.0
0.05,-1,50,-0.0192809525318151,0.3018770040391998,13,2014.0
0.05,-1,50,-0.1722701536537878,0.2582718658078027,14,2015.0
0.1,-1,50,-0.1022313085087573,0.2273843723675619,15,2016.0
0.1,-1,50,-0.0716780340497589,0.4020111490313641,16,2017.0
0.1,-1,50,-0.1203594331694499,0.5615052061225853,17,2018.0
0.15,-1,50,-0.3761350273424302,0.2941134678116251,18,2019.0
0.1,-1,100,-0.0043205299298003,0.5731011886913109,19,2020.0
0.15,-1,100,-0.2084727996552038,3.177309890634077,20,2021.0
0.05,-1,50,-0.5969145177776669,0.2809982726962182,21,2022.0
0.05,-1,50,-0.0481950663306609,0.4506843929049923,22,2023.0
0.05,-1,50,-0.3911809594794453,0.5282946723628965,23,2024.0
