year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.27136522392694257,-0.37953497683249293,0.6509002007594356,272,100,500000.0,500000.0,1838.235294117647,5000.0,135682.61196347128,-189767.48841624646,-54084.87645277518,-0.054084876452775175
2014.0,-0.02670006105042812,0.007373380429874202,-0.03407344148030232,280,100,500000.0,500000.0,1785.7142857142858,5000.0,-13350.03052521406,3686.690214937101,-9663.340310276959,-0.009663340310276958
2015.0,-0.10429218760932318,0.3415005718275604,-0.44579275943688357,283,100,500000.0,500000.0,1766.7844522968198,5000.0,-52146.09380466159,170750.2859137802,118604.1921091186,0.1186041921091186
2016.0,0.17408456602934413,-0.1874952769449835,0.36157984297432766,277,100,500000.0,500000.0,1805.0541516245487,5000.0,87042.28301467207,-93747.63847249174,-6705.355457819678,-0.0067053554578196785
2017.0,0.17443203636022117,-0.13746326544749365,0.31189530180771485,273,100,500000.0,500000.0,1831.5018315018315,5000.0,87216.01818011058,-68731.63272374682,18484.385456363758,0.01848438545636376
2018.0,-0.09288833976453235,0.221692004550421,-0.31458034431495335,273,100,500000.0,500000.0,1831.5018315018315,5000.0,-46444.16988226618,110846.0022752105,64401.83239294432,0.06440183239294432
2019.0,-0.012769763313641092,0.13519618670295505,-0.14796595001659615,271,100,500000.0,500000.0,1845.018450184502,5000.0,-6384.881656820546,67598.09335147752,61213.21169465698,0.06121321169465698
2020.0,0.9377816699005503,-0.8057536157015975,1.7435352856021478,271,100,500000.0,500000.0,1845.018450184502,5000.0,468890.8349502752,-402876.80785079877,66014.02709947643,0.06601402709947643
2021.0,-0.1473916708527425,0.6274625728996832,-0.7748542437524257,291,100,500000.0,500000.0,1718.213058419244,5000.0,-73695.83542637124,313731.28644984163,240035.45102347038,0.24003545102347038
2022.0,0.007663419307400507,0.04320848510371761,-0.0355450657963171,297,100,500000.0,500000.0,1683.5016835016836,5000.0,3831.7096537002535,21604.242551858806,25435.95220555906,0.02543595220555906
2023.0,-0.003476797020024826,0.02747757447276735,-0.030954371492792176,298,100,500000.0,500000.0,1677.8523489932886,5000.0,-1738.398510012413,13738.787236383676,12000.388726371262,0.012000388726371262
2024.0,0.06376474393258719,0.11062584615656769,-0.0468611022239805,288,100,500000.0,500000.0,1736.111111111111,5000.0,31882.371966293595,55312.92307828384,87195.29504457743,0.08719529504457743
