year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.27613291864315004,-0.06761986986286823,0.34375278850601826,272,100,6,2.2058823529411766,30,30.0,500000.0,500000.0,1838.235294117647,5000.0,138066.459321575,-33809.934931434116,104256.5243901409,0.1042565243901409
2014.0,0.008240080217581169,0.15207500053626644,-0.14383492031868528,280,100,46,16.428571428571427,17,17.0,500000.0,500000.0,1785.7142857142858,5000.0,4120.040108790585,76037.50026813321,80157.5403769238,0.0801575403769238
2015.0,-0.07553783738586049,0.37706645240534425,-0.45260428979120476,283,100,43,15.19434628975265,6,6.0,500000.0,500000.0,1766.7844522968198,5000.0,-37768.918692930245,188533.22620267211,150764.30750974186,0.15076430750974187
2016.0,0.17920296235983543,0.1087746986293728,0.07042826373046263,277,100,8,2.888086642599278,21,21.0,500000.0,500000.0,1805.0541516245487,5000.0,89601.48117991771,54387.349314686406,143988.83049460413,0.14398883049460412
2017.0,0.17649254849302967,0.10166338499324752,0.07482916349978215,273,100,4,1.465201465201465,18,18.0,500000.0,500000.0,1831.5018315018315,5000.0,88246.27424651483,50831.692496623764,139077.9667431386,0.1390779667431386
2018.0,-0.06222099943258216,0.3535836293135644,-0.41580462874614654,273,100,42,15.384615384615385,9,9.0,500000.0,500000.0,1831.5018315018315,5000.0,-31110.499716291077,176791.8146567822,145681.3149404911,0.1456813149404911
2019.0,0.001577620069493992,0.2525150874872501,-0.25093746741775613,271,100,26,9.59409594095941,14,14.000000000000002,500000.0,500000.0,1845.018450184502,5000.0,788.810034746996,126257.54374362505,127046.35377837205,0.12704635377837206
2020.0,0.9421855475869857,-0.06140415686868246,1.003589704455668,271,100,12,4.428044280442804,34,34.0,500000.0,500000.0,1845.018450184502,5000.0,471092.7737934929,-30702.07843434123,440390.69535915164,0.44039069535915165
2021.0,-0.11382559482949513,0.6323060594692302,-0.7461316542987254,291,100,46,15.807560137457044,1,1.0,500000.0,500000.0,1718.213058419244,5000.0,-56912.79741474756,316153.0297346151,259240.23231986756,0.25924023231986754
2022.0,0.018089720603913225,0.19755036464193287,-0.17946064403801965,297,100,18,6.0606060606060606,21,21.0,500000.0,500000.0,1683.5016835016836,5000.0,9044.860301956613,98775.18232096644,107820.04262292305,0.10782004262292305
2023.0,0.05271552807401432,0.08620070771969299,-0.03348517964567867,298,100,70,23.48993288590604,13,13.0,500000.0,500000.0,1677.8523489932886,5000.0,26357.76403700716,43100.353859846495,69458.11789685366,0.06945811789685366
2024.0,0.07330810865412668,0.20447979847485853,-0.13117168982073185,288,100,16,5.555555555555555,20,20.0,500000.0,500000.0,1736.111111111111,5000.0,36654.05432706334,102239.89923742927,138893.9535644926,0.1388939535644926
