learning_rate,max_depth,n_estimators,r2_score,mse,counter,year
0.1,6,100,-0.4388501494508294,0.4162852205827777,5,2006.0
0.1,9,100,-0.084500362456084,0.2648446609662658,6,2007.0
0.01,9,20,-0.6338656409802876,0.4106491584826682,7,2008.0
0.1,9,100,-0.7650816171800341,0.4111526558830664,8,2009.0
0.1,6,100,-0.3040620963833547,0.5674121734836125,9,2010.0
0.1,9,50,-0.3019114587621563,0.4339505965488359,10,2011.0
0.1,9,100,-0.1856456448407235,0.2425047035645905,11,2012.0
0.1,9,100,-0.0456764000730511,0.309986917026953,12,2013.0
0.1,9,100,-0.1028424814167823,0.3266251403897038,13,2014.0
0.1,9,100,-0.5219974195142794,0.3353229731793606,14,2015.0
0.01,3,20,-0.2266009256859025,0.2530411534126219,15,2016.0
0.1,6,100,-0.2991534582168254,0.4873424274006969,16,2017.0
0.1,9,100,-0.1601936751427248,0.5814694547268614,17,2018.0
0.01,3,20,-0.1381864729008208,0.2432580843520988,18,2019.0
0.1,6,100,-0.0408872033113527,0.593967439412004,19,2020.0
0.1,6,100,-0.3111967614877362,3.4473911535543067,20,2021.0
0.1,9,100,-2.211425514295541,0.5650928790261335,21,2022.0
0.1,9,100,-0.0406762810773968,0.4474515984795114,22,2023.0
0.1,3,20,-0.1388932061686234,0.4324895399907688,23,2024.0
