colsample_bytree,learning_rate,max_depth,n_estimators,subsample,r2_score,mse,counter,year
1.0,0.2,6,150,1.0,-0.5323021767171587,0.4433225724566471,5,2006.0
1.0,0.2,9,150,1.0,-0.1961388654691762,0.2921077790848466,6,2007.0
1.0,0.15,9,150,1.0,-0.5535305432017852,0.3904580610803311,7,2008.0
1.0,0.2,6,150,1.0,-1.0110722723293049,0.4684529587147411,8,2009.0
1.0,0.2,6,150,1.0,-0.3594676934692991,0.5915197756851347,9,2010.0
1.0,0.15,9,150,1.0,-0.4926150918581797,0.4975155608089502,10,2011.0
1.0,0.2,9,150,1.0,-0.2777978900760822,0.2613529597959995,11,2012.0
1.0,0.2,9,150,1.0,-0.1847145087709549,0.3512042522001583,12,2013.0
1.0,0.2,9,150,1.0,-0.19104574816703,0.3527480045979448,13,2014.0
1.0,0.1,9,150,1.0,-0.8940400534232593,0.4172905511478258,14,2015.0
1.0,0.2,9,150,1.0,-0.3386121447216303,0.2761484635951127,15,2016.0
1.0,0.2,6,150,1.0,-0.263728597044887,0.4740537448938889,16,2017.0
1.0,0.15,9,150,1.0,-0.2008043982520526,0.601822862548654,17,2018.0
1.0,0.2,9,150,1.0,-0.1514334849040821,0.2460892924537816,18,2019.0
1.0,0.2,6,150,1.0,-0.056791081504163,0.6030427607118071,19,2020.0
1.0,0.2,9,150,1.0,-0.2856066134834418,3.380109680293152,20,2021.0
1.0,0.2,6,100,1.0,-1.351610568119356,0.4137970444500099,21,2022.0
1.0,0.2,9,150,1.0,-0.0766968631505951,0.4629390918719128,22,2023.0
1.0,0.2,6,150,1.0,-0.1063411646036642,0.4201280495490521,23,2024.0
