colsample_bytree,learning_rate,max_depth,n_estimators,subsample,r2_score,mse,counter,year
1.0,0.1,3,25,1.0,0.0024610816324974,0.2957167378909393,12,2013.0
1.0,0.05,6,25,1.0,-0.0206455294224563,0.3022811461773459,13,2014.0
1.0,0.05,3,50,1.0,-0.1267995770878289,0.2482538928922225,14,2015.0
1.0,0.15,3,75,1.0,-0.0786690387973074,0.2225236032453875,15,2016.0
1.0,0.05,3,25,1.0,-0.0486430850351728,0.393370208350478,16,2017.0
1.0,0.05,3,25,1.0,-0.0581261073783478,0.5303149154074256,17,2018.0
1.0,0.05,9,25,1.0,-0.3235934190014018,0.2828840504023299,18,2019.0
1.0,0.05,3,25,1.0,-0.0052247731828549,0.5736171822090655,19,2020.0
1.0,0.05,9,100,1.0,-0.1883182002636756,3.1243195312261194,20,2021.0
1.0,0.05,6,25,1.0,-0.5634733325779242,0.275113852977172,21,2022.0
1.0,0.05,3,25,1.0,-0.0175830907933152,0.4375223965802366,22,2023.0
1.0,0.05,3,25,1.0,-0.3139152863913634,0.4989533827407034,23,2024.0
