Complexity,Loss,Equation
1,0.37649155,"0.12924755"
3,0.35950562,"x30 * -0.2890112"
5,0.35736516,"0.06452581 - (x30 * 0.23223376)"
6,0.35237494,"(abs(x30) - x10) * 0.27573606"
7,0.3523048,"(abs(x30) - abs(x10)) * 0.27573606"
8,0.3486526,"(abs(0.27573606 - x30) - x10) * 0.27573606"
9,0.3484382,"(abs(0.27573606 - x30) - abs(x10)) * 0.27573606"
10,0.3483545,"(abs(0.27573606 - x30) - x10) * (0.27573606 * 0.9563504)"
11,0.34816986,"((abs(0.27573606 - x30) - abs(x10)) * 0.27573606) * 0.9563504"
13,0.3481032,"(abs(0.27573606 - x30) - abs(x10)) * ((1.191424 * 0.2241892) * 0.9563504)"
