Complexity,Loss,Equation
1,0.50837076,"0.13331814"
4,0.50700957,"abs(x30) * 0.21394196"
5,0.49529558,"0.22815324 - (x10 * 0.27350897)"
7,0.49511123,"((1.029155 - x10) * 0.23170757) - 0.039298985"
8,0.49318683,"0.21415012 * (1.752574 - abs(x20 - x10))"
9,0.4931347,"0.21415012 * ((1.752574 - abs(x20)) - abs(x10))"
12,0.49262372,"((1.029155 - abs(x10)) * ((0.59205306 - x30) * 0.21415012)) - 0.039298985"
13,0.4912566,"abs((0.21415012 * (0.79573965 - x30)) * (1.029155 - abs(x10))) - 0.039298985"
14,0.48845568,"(((abs(x10) - 1.029155) * (-1.1471875 - (x6 * 0.4720491))) * 0.21415012) - 0.039298985"
17,0.48566407,"(((0.79573965 / (1.3144323 - (x6 * 0.5458562))) - x30) * 0.21415012) * (0.79647034 - abs(abs(x10)))"
19,0.48476604,"((((0.79573965 / (1.3144323 - x6)) * 0.5458562) - x30) * 0.21415012) * (abs(1.029155 - abs(x10)) - 0.23268466)"
