Complexity,Loss,Equation
1,0.38120618,"0.11690838"
3,0.36347705,"x30 / -3.8374758"
5,0.36323962,"(x30 - 0.29315576) / -5.625424"
6,0.36273405,"(x30 - abs(x30)) / -9.103508"
7,0.36078957,"(x30 - (x56 - x14)) / -5.3295865"
8,0.36002275,"abs((x30 * (1.7781029 - x30)) / -9.103508)"
9,0.34855893,"(x30 - ((0.68884236 + x21) - x14)) / -5.3295865"
11,0.34315646,"(x30 - ((0.68884236 + (x21 - x3)) - x14)) / -5.3295865"
15,0.3425411,"(x30 - (0.68884236 + (((x21 - x3) / (x59 + 0.814876)) - x14))) / -5.3295865"
17,0.34233466,"(x30 - ((((x21 - x3) / ((x59 + 0.814876) + x14)) + 0.68884236) - x14)) / -5.3295865"
20,0.34061942,"(x30 - ((((x21 - x3) / (x59 + abs((x14 + 0.814876) - x30))) - x14) + 0.68884236)) / -5.3295865"
