Complexity,Loss,Equation
1,0.36573726,"0.12205881"
3,0.3619878,"x286 * -0.21320997"
4,0.35466927,"abs(x135) * 0.25682992"
5,0.34079707,"(0.5944751 - x286) * 0.24276918"
9,0.3395337,"-0.023715619 * ((0.5944751 - x286) * (-10.236679 - x286))"
10,0.3394921,"abs(-5.683206 - x286) * ((x286 * -0.039184425) - -0.027616415)"
11,0.33812255,"(x49 + (x286 - -5.683206)) * ((-0.039184425 * x286) - -0.027616415)"
14,0.3375211,"abs((x49 + x286) - (-5.683206 - x49)) * ((-0.039184425 * x286) - -0.027616415)"
18,0.3371796,"((x49 + x286) - (-5.683206 - ((x49 + x49) + abs(-0.91872203)))) * ((-0.039184425 * x286) - -0.027616415)"
19,0.33645207,"abs((x49 + x286) - (-5.683206 - ((x286 + abs(x49)) + 0.04676488))) * ((x286 * -0.039184425) - -0.027616415)"
