Complexity,Loss,Equation
1,0.36828643,"0.11690075"
3,0.36775288,"-0.16851039 * x135"
4,0.361194,"abs(x135 / 4.1654606)"
5,0.3610357,"abs(abs(x135 / 3.7584975))"
8,0.36005053,"abs(((x135 / -0.11665548) - -0.5201074) * 0.026979644)"
9,0.35944754,"abs(abs(x135 / ((x135 + 0.5467911) / 0.17627405)))"
10,0.35660207,"abs((x135 / 0.79050696) / ((x135 + 0.3483275) / 0.17627405))"
12,0.35643855,"abs((x135 / -1.0679079) / (((x135 + 0.39283895) / -0.2387754) + 0.39283895))"
13,0.35607648,"abs((x135 / 1.4360727) / (x135 + (abs(x135 + 0.3483275) / 0.20502153)))"
14,0.35468462,"abs((x135 / 1.4360727) / abs((x135 + abs(x135 + 0.3483275)) / -0.17627405))"
17,0.35370332,"abs(abs((x135 / 1.3968431) / ((x135 + abs(abs(x135 + 0.29472664))) / 0.3832679)) * 0.26691508)"
18,0.35343024,"abs(abs(abs((x135 / 1.3968431) / ((x135 + abs(x135 + 0.29472664)) / 0.29472664)) * abs(-0.3832679)))"
