feature,ranking
at_over_act,20
dltt_over_invt_d,2
dltt_over_ppent_d,2
dltt_over_lt_d,2
dltt_over_lct_pd,2
dltt_over_sale_d,2
dltt_over_xsga_d,2
dltt_over_emp_d,2
dltt_over_mktcap,2
dltt_d_over_mktcap,2
dltt_pd_minus_pd_invt,2
dltt_pd_minus_pd_mktcap,2
ceq_over_act_d,2
seq_over_act,2
seq_d_over_invt,2
seq_d_over_dltt,2
seq_d_over_ceq,2
seq_d_over_xsga,2
seq_d_over_emp,2
icapt_over_lt_d,2
icapt_over_lct_d,2
icapt_over_xsga_d,2
icapt_d_over_act,2
icapt_d_over_invt,2
icapt_d_over_ppent,2
icapt_d_over_dltt,2
sale_over_ppent_d,2
sale_over_lct,2
sale_over_ceq,2
sale_over_xsga,2
cogs_over_invt_d,3
cogs_over_ppent_d,3
cogs_over_lt,3
cogs_over_lct,3
cogs_over_icapt_d,3
cogs_over_emp,3
xsga_over_invt,3
xsga_over_ppent_pd,3
xsga_over_lt_pd,3
xsga_over_lct_d,3
xsga_over_dltt,3
xsga_over_seq_d,3
xsga_over_sale_pd,3
xsga_over_emp_d,3
xsga_d_over_invt,3
xsga_d_over_ppent,3
xsga_d_over_dltt,3
emp_over_at_d,3
emp_over_act,3
emp_over_ppent_d,3
emp_over_lt_d,3
emp_over_lct_pd,3
emp_over_dltt,3
emp_over_ceq_pd,3
emp_over_icapt_d,3
emp_over_cogs_d,4
emp_over_xsga_d,4
emp_d_over_invt,4
acchg_over_invt,3
aco_over_invt,4
aco_over_invt_d,4
aco_over_ppent,4
aco_over_lt,4
aco_over_lct,4
aco_over_dltt_pd,4
aco_over_cogs,4
aco_over_xsga,4
aco_over_emp_d,4
aco_d_over_invt,4
aco_d_over_dltt,4
aco_pd_minus_pd_seq,4
acox_over_ppent_d,4
acox_over_lct_d,4
acox_over_dltt,4
acox_over_ceq_d,4
acox_over_seq,4
acox_over_cogs_d,4
acox_over_mktcap_pd,4
acox_d_over_ppent,4
acox_pd_minus_pd_icapt,4
acox_pd_minus_pd_sale,4
acox_pd_minus_pd_emp,4
am_pd,4
am_over_act_pd,4
am_over_invt,4
am_over_invt_d,4
am_over_lct_d,5
am_over_dltt,5
am_over_dltt_d,5
am_over_seq_d,5
am_over_xsga_d,5
am_over_emp_d,5
am_over_mktcap_d,5
am_d_over_dltt,5
am_pd_minus_pd_ceq,5
am_pd_minus_pd_cogs,5
am_pd_minus_pd_mktcap,5
ao_over_act_d,5
ao_over_invt_d,5
ao_over_ppent_d,5
ao_over_lt,5
ao_over_lt_d,5
ao_over_lct_d,5
ao_over_sale,4
ao_over_xsga_d,5
ao_over_emp_d,4
ao_d_over_invt,4
ao_d_over_dltt,4
aoloch_over_invt,4
aoloch_over_dltt,4
aoloch_over_dltt_d,4
aoloch_over_xsga,4
aoloch_d_over_invt,4
aoloch_d_over_xsga,4
aoloch_d_over_emp,5
aox,5
aox_over_icapt_pd,5
aox_over_cogs,5
aox_over_emp,5
aox_over_mktcap,5
aox_over_mktcap_d,5
aox_d_over_lct,5
aox_pd_minus_pd_invt,5
aox_pd_minus_pd_dltt,5
aox_pd_minus_pd_sale,5
ap_over_act,5
ap_over_invt,5
ap_over_lt,5
ap_over_dltt,5
ap_over_dltt_d,5
ap_over_ceq_d,5
ap_over_sale_d,6
ap_over_cogs,6
ap_over_cogs_d,6
ap_over_mktcap_d,5
ap_d_over_dltt,5
ap_d_over_xsga,5
ap_pd_minus_pd_dltt,5
ap_pd_minus_pd_xsga,5
apalch,5
apalch_over_dltt,5
apalch_over_cogs,6
apalch_over_xsga,6
apalch_d_over_dltt,6
apalch_d_over_cogs,6
apalch_d_over_xsga,6
aqc_over_invt,6
aqc_over_dltt,6
aqc_over_xsga,6
aqc_d_over_xsga,6
caps_over_at_d,6
caps_over_invt,6
caps_over_ppent,6
caps_over_ppent_pd,6
caps_over_dltt,6
caps_over_icapt_pd,6
caps_over_sale,5
caps_over_cogs_d,5
caps_over_mktcap_pd,5
caps_d_over_invt,5
caps_d_over_dltt,5
caps_pd_minus_pd_invt,5
caps_pd_minus_pd_lt,5
caps_pd_minus_pd_lct,5
capx_over_act,5
capx_over_dltt_d,5
capx_over_emp,5
capx_d_over_dltt,3
capxv_over_invt,3
capxv_over_ppent,2
ceql_over_ceq,6
ceql_over_ceq_pd,6
ceql_over_cogs,6
ceql_over_xsga_d,6
ceqt,6
ceqt_over_invt,7
ceqt_over_invt_d,7
ceqt_over_invt_pd,7
ceqt_over_ppent,7
ceqt_over_ppent_d,7
ceqt_over_lt,7
ceqt_over_lct_d,7
ceqt_over_dltt_pd,7
ceqt_over_icapt_pd,7
ceqt_over_sale,7
ceqt_over_sale_d,6
ceqt_over_sale_pd,7
ceqt_over_cogs_d,6
ceqt_over_xsga_d,6
ceqt_over_mktcap_d,6
ceqt_d_over_invt,6
ceqt_d_over_ppent,6
ceqt_pd_minus_pd_ppent,6
ceqt_pd_minus_pd_lt,6
ceqt_pd_minus_pd_ceq,6
ceqt_pd_minus_pd_xsga,6
ceqt_pd_minus_pd_emp,6
ch_over_invt,6
ch_over_ppent_d,6
ch_over_dltt_d,6
ch_over_seq_d,6
ch_over_cogs_d,6
ch_over_mktcap,6
ch_pd_minus_pd_lt,6
ch_pd_minus_pd_dltt,6
ch_pd_minus_pd_icapt,6
ch_pd_minus_pd_sale,6
che_over_at_d,6
che_over_ppent_d,6
che_over_lt_d,6
che_over_lct_d,6
che_over_dltt,6
che_over_seq,6
che_over_seq_pd,6
che_over_icapt_d,6
che_over_sale,7
