feature,ranking
at_over_act,26
at_over_ceq_d,7
at_over_icapt,7
at_d_over_invt,7
at_d_over_dltt,7
at_d_over_xsga,2
at_d_over_mktcap,2
act_over_at_d,2
act_over_invt,7
act_over_ppent_d,7
act_over_dltt_d,7
act_over_icapt_d,6
act_over_mktcap_d,7
act_d_over_invt,7
act_d_over_dltt,7
act_d_over_sale,7
act_d_over_xsga,7
act_d_over_mktcap,5
act_pd_minus_pd_lt,7
invt,7
invt_over_act_pd,7
invt_over_lt,7
invt_over_lt_pd,8
invt_over_lct_pd,8
invt_over_dltt,8
invt_over_ceq_pd,8
invt_over_icapt_pd,8
invt_over_sale_pd,8
invt_over_cogs,8
invt_over_cogs_d,8
invt_over_xsga_pd,8
invt_over_emp,8
invt_over_emp_pd,8
invt_over_mktcap_pd,7
invt_d_over_ppent,3
invt_d_over_dltt,7
ppent_over_at_d,7
ppent_over_invt_d,7
ppent_over_lt_pd,7
ppent_over_icapt_pd,7
ppent_over_sale_d,2
ppent_over_cogs_d,2
ppent_d_over_invt,7
ppent_d_over_dltt,7
lt_over_act,5
lt_over_dltt_d,7
lt_over_ceq,7
lt_over_icapt_d,7
lt_over_sale_d,7
lt_over_emp,7
lt_d_over_invt,7
lt_d_over_dltt,7
lt_d_over_xsga,7
lct_over_invt,2
lct_over_lt_d,7
lct_over_ceq,7
lct_over_ceq_d,4
lct_over_icapt_d,7
lct_over_sale_d,7
lct_over_mktcap,4
lct_d_over_invt,7
lct_d_over_lt,7
lct_d_over_dltt,3
lct_d_over_xsga,7
dltt_over_at_d,7
dltt_over_act_d,7
dltt_over_act_pd,7
dltt_over_invt,7
dltt_over_invt_d,8
dltt_over_ppent_d,8
dltt_over_lt_d,8
dltt_over_lct_pd,8
dltt_over_sale_d,8
dltt_over_xsga_d,8
dltt_over_emp_d,8
dltt_over_mktcap,8
dltt_d_over_mktcap,8
dltt_pd_minus_pd_invt,8
dltt_pd_minus_pd_mktcap,8
ceq_over_act_d,8
ceq_over_mktcap,3
ceq_over_mktcap_d,2
seq_over_act,8
seq_over_invt,2
seq_over_ppent_d,4
seq_over_xsga,3
seq_d_over_invt,8
seq_d_over_ppent,2
seq_d_over_dltt,8
seq_d_over_ceq,8
seq_d_over_xsga,8
seq_d_over_emp,8
icapt_over_lt_d,8
icapt_over_lct_d,8
icapt_over_xsga_d,8
icapt_d_over_act,8
icapt_d_over_invt,8
icapt_d_over_ppent,8
icapt_d_over_dltt,8
sale_pd,3
sale_over_at_d,4
sale_over_ppent_d,8
sale_over_lt,4
sale_over_lct,8
sale_over_ceq,8
sale_over_xsga,8
sale_over_emp,8
sale_over_mktcap,3
sale_d_over_invt,4
sale_d_over_ppent,4
sale_d_over_dltt,8
cogs_over_act_d,9
cogs_over_invt_d,9
cogs_over_ppent_d,9
cogs_over_lt,9
cogs_over_lct,9
cogs_over_seq_d,6
cogs_over_icapt,7
cogs_over_icapt_d,9
cogs_over_xsga_d,5
cogs_over_emp,9
cogs_over_mktcap_pd,6
xsga_over_at_pd,5
xsga_over_act,3
xsga_over_invt,9
xsga_over_ppent_pd,9
xsga_over_lt,4
xsga_over_lt_pd,9
xsga_over_lct,2
xsga_over_lct_d,9
xsga_over_dltt,9
xsga_over_seq_d,9
xsga_over_icapt_d,2
xsga_over_sale_pd,9
xsga_over_emp_d,9
xsga_d_over_invt,9
xsga_d_over_ppent,9
xsga_d_over_dltt,9
emp_over_at_d,9
emp_over_act,9
emp_over_act_pd,2
emp_over_invt,5
emp_over_ppent_d,9
emp_over_lt_d,9
emp_over_lct,3
emp_over_lct_pd,9
emp_over_dltt,9
emp_over_ceq_pd,9
emp_over_icapt_d,9
emp_over_sale_d,5
emp_over_cogs_d,9
emp_over_xsga_d,9
emp_over_mktcap_d,2
emp_d_over_invt,9
emp_d_over_dltt,7
acchg_over_invt,9
acchg_over_xsga,4
aco_over_invt,10
aco_over_invt_d,10
aco_over_ppent,10
aco_over_lt,10
aco_over_lct,10
aco_over_dltt_pd,10
aco_over_sale,7
aco_over_sale_d,4
aco_over_cogs,10
aco_over_xsga,10
aco_over_xsga_d,2
aco_over_emp,7
aco_over_emp_d,10
aco_over_mktcap,2
aco_over_mktcap_d,6
aco_d_over_invt,10
aco_d_over_dltt,10
aco_d_over_sale,2
aco_pd_minus_pd_at,2
aco_pd_minus_pd_seq,10
acox,4
acox_over_act_d,3
acox_over_ppent_d,10
acox_over_lt_d,4
acox_over_lct_d,10
acox_over_dltt,10
acox_over_ceq_d,10
acox_over_seq,10
acox_over_cogs_d,10
acox_over_mktcap_pd,10
acox_d_over_ppent,10
acox_pd_minus_pd_invt,3
acox_pd_minus_pd_icapt,10
acox_pd_minus_pd_sale,10
acox_pd_minus_pd_emp,10
am_pd,10
am_over_act_pd,10
am_over_invt,10
am_over_invt_d,10
am_over_ppent_pd,4
am_over_lt_pd,4
am_over_lct_d,10
am_over_dltt,10
am_over_dltt_d,10
am_over_seq_d,10
am_over_sale,2
am_over_sale_d,5
am_over_xsga_d,10
am_over_emp_d,10
am_over_mktcap_d,10
am_d_over_invt,5
am_d_over_dltt,10
am_d_over_ceq,6
am_pd_minus_pd_ceq,10
am_pd_minus_pd_cogs,10
am_pd_minus_pd_mktcap,10
ao_over_act_d,11
ao_over_invt,3
ao_over_invt_d,11
ao_over_ppent,3
ao_over_ppent_d,11
ao_over_lt,11
ao_over_lt_d,11
ao_over_lct_d,11
ao_over_sale,11
ao_over_sale_d,7
ao_over_xsga_d,11
ao_over_emp_d,11
ao_d_over_invt,11
ao_d_over_dltt,11
aoloch_over_invt,11
aoloch_over_dltt,11
aoloch_over_dltt_d,11
aoloch_over_xsga,11
aoloch_over_mktcap_d,3
aoloch_d_over_invt,11
aoloch_d_over_dltt,6
aoloch_d_over_xsga,11
aoloch_d_over_emp,11
aox,11
aox_over_icapt_pd,11
aox_over_cogs,11
aox_over_xsga,6
aox_over_emp,11
aox_over_mktcap,11
aox_over_mktcap_d,11
aox_over_mktcap_pd,4
aox_d_over_lct,11
aox_pd_minus_pd_invt,10
aox_pd_minus_pd_lt,7
aox_pd_minus_pd_dltt,10
aox_pd_minus_pd_sale,10
ap_over_act,10
ap_over_invt,10
ap_over_invt_d,4
ap_over_ppent,6
ap_over_lt,10
ap_over_lct_d,2
ap_over_dltt,10
ap_over_dltt_d,10
ap_over_ceq,2
ap_over_ceq_d,12
ap_over_sale_d,12
ap_over_cogs,12
ap_over_cogs_d,12
ap_over_xsga,2
ap_over_emp,6
ap_over_mktcap_d,10
ap_d_over_dltt,10
ap_d_over_xsga,10
ap_pd_minus_pd_act,4
ap_pd_minus_pd_lt,3
ap_pd_minus_pd_dltt,10
ap_pd_minus_pd_xsga,12
apalch,12
apalch_over_invt,3
apalch_over_dltt,12
apalch_over_cogs,12
apalch_over_xsga,12
apalch_d_over_dltt,12
apalch_d_over_cogs,12
apalch_d_over_xsga,12
aqc_over_invt,12
aqc_over_dltt,12
aqc_over_xsga,12
aqc_d_over_xsga,12
caps,4
caps_over_at_d,12
caps_over_invt,12
caps_over_ppent,12
caps_over_ppent_pd,10
caps_over_dltt,11
caps_over_dltt_pd,7
caps_over_seq,5
caps_over_icapt_pd,11
caps_over_sale,11
caps_over_cogs_d,11
caps_over_mktcap_pd,11
caps_d_over_invt,11
caps_d_over_dltt,11
caps_d_over_mktcap,7
caps_pd_minus_pd_invt,11
caps_pd_minus_pd_lt,11
caps_pd_minus_pd_lct,11
capx_over_act,11
capx_over_act_d,5
capx_over_ppent_d,3
capx_over_lt,5
capx_over_lt_d,2
capx_over_dltt_d,11
capx_over_ceq_d,5
capx_over_emp,11
capx_d_over_dltt,11
capx_d_over_ceq,11
capx_pd_minus_pd_icapt,5
capxv_over_invt,11
capxv_over_invt_d,11
capxv_over_ppent,11
capxv_over_dltt,11
capxv_over_sale,11
capxv_over_sale_d,11
capxv_over_cogs_pd,3
capxv_over_xsga_pd,11
capxv_over_emp_d,11
capxv_over_mktcap_pd,2
capxv_pd_minus_pd_dltt,3
ceql_over_ceq,12
ceql_over_ceq_pd,12
ceql_over_cogs,12
ceql_over_cogs_d,2
ceql_over_xsga_d,12
ceqt,12
ceqt_over_invt,13
ceqt_over_invt_d,13
ceqt_over_invt_pd,13
ceqt_over_ppent,13
ceqt_over_ppent_d,13
ceqt_over_lt,13
ceqt_over_lct_d,13
ceqt_over_dltt_pd,13
ceqt_over_icapt_pd,13
ceqt_over_sale,13
ceqt_over_sale_d,12
ceqt_over_sale_pd,13
ceqt_over_cogs_d,12
ceqt_over_xsga,2
ceqt_over_xsga_d,12
ceqt_over_emp_d,3
ceqt_over_mktcap_d,12
ceqt_over_mktcap_pd,3
ceqt_d_over_invt,12
ceqt_d_over_ppent,12
ceqt_d_over_dltt,4
ceqt_d_over_mktcap,7
ceqt_pd_minus_pd_act,5
ceqt_pd_minus_pd_ppent,12
ceqt_pd_minus_pd_lt,12
ceqt_pd_minus_pd_ceq,12
ceqt_pd_minus_pd_xsga,12
ceqt_pd_minus_pd_emp,12
ch_over_invt,12
ch_over_ppent_d,12
ch_over_dltt_d,12
ch_over_seq_d,12
ch_over_cogs_d,12
ch_over_mktcap,12
ch_over_mktcap_d,3
ch_pd_minus_pd_lt,12
ch_pd_minus_pd_dltt,12
ch_pd_minus_pd_icapt,12
ch_pd_minus_pd_sale,12
che_over_at_d,12
che_over_invt_d,3
che_over_ppent,5
che_over_ppent_d,12
che_over_lt_d,12
che_over_lct_d,12
che_over_dltt,12
che_over_seq,12
che_over_seq_pd,12
che_over_icapt_d,12
che_over_sale,13
che_over_sale_d,4
che_over_cogs_d,12
che_over_xsga,12
che_over_xsga_d,12
che_over_emp_d,12
che_over_mktcap_d,12
che_d_over_act,12
che_d_over_invt,12
che_d_over_dltt,12
che_pd_minus_pd_invt,6
che_pd_minus_pd_sale,12
chech_over_invt,12
chech_over_lt_pd,4
chech_over_lct,12
chech_over_dltt,12
chech_over_dltt_d,12
chech_d_over_act,12
chech_d_over_invt,12
chech_d_over_dltt,3
cld2_over_act_d,5
cld2_over_invt,12
cld2_over_ppent_d,5
cld2_over_lt_d,12
cld2_over_lct_d,12
cld2_over_dltt,12
cld2_over_seq_d,12
cld2_over_sale_d,12
cld2_over_xsga,12
cld2_over_xsga_d,12
cld2_over_emp_d,5
cld2_over_mktcap_d,13
cld2_d_over_xsga,13
cld3_over_at_d,13
cld3_over_act_d,13
cld3_over_ppent_d,13
cld3_over_lt_d,13
cld3_over_lct_d,13
cld3_over_ceq_d,13
cld3_over_sale_d,13
cld3_over_xsga_d,13
cld3_over_emp_d,13
cld3_over_mktcap_d,13
cld3_d_over_xsga,13
cld4_over_at_d,13
cld4_over_act_d,13
cld4_over_ppent_d,5
cld4_over_lt_d,13
cld4_over_lct_d,3
cld4_over_dltt,13
cld4_over_ceq_d,13
cld4_over_cogs_d,13
cld4_over_xsga,5
cld4_over_xsga_d,13
cld4_d_over_icapt,13
cld5_over_at_d,3
cld5_over_act_d,3
cld5_over_invt,13
cld5_over_ppent_d,6
cld5_over_lt_d,4
cld5_over_lct_d,6
cld5_over_ceq_d,13
cld5_over_seq,13
cld5_over_cogs_d,13
cld5_over_xsga_d,13
cld5_over_emp_d,13
cld5_over_mktcap_d,13
cld5_d_over_ceq,13
cstk_over_at_d,13
cstk_over_act_d,7
cstk_over_invt,13
cstk_over_invt_d,13
cstk_over_invt_pd,5
cstk_over_ppent,13
cstk_over_ppent_pd,13
cstk_over_lct_d,13
cstk_over_ceq_d,13
cstk_over_ceq_pd,13
cstk_over_icapt_d,13
cstk_over_icapt_pd,13
cstk_over_sale,13
cstk_over_sale_d,13
cstk_over_cogs_d,6
cstk_over_xsga_d,3
cstk_over_emp_d,13
cstk_over_mktcap_d,3
cstk_d_over_dltt,13
cstk_pd_minus_pd_at,3
cstk_pd_minus_pd_act,13
cstk_pd_minus_pd_lt,13
cstk_pd_minus_pd_lct,13
cstk_pd_minus_pd_cogs,13
cstk_pd_minus_pd_xsga,5
cstk_pd_minus_pd_emp,13
cstkcv_over_at_d,13
cstkcv_over_act_d,15
cstkcv_over_invt_d,13
cstkcv_over_invt_pd,13
cstkcv_over_ppent_pd,13
cstkcv_over_lct_d,14
cstkcv_over_dltt_d,14
cstkcv_over_seq_d,14
cstkcv_over_icapt_d,3
cstkcv_over_sale_d,14
cstkcv_over_cogs_d,14
cstkcv_over_xsga_d,14
cstkcv_over_mktcap,14
cstkcv_d_over_invt,2
cstkcv_d_over_dltt,14
cstkcv_pd_minus_pd_dltt,14
cstke_over_invt_d,14
cstke_over_dltt_d,14
cstke_over_xsga,14
cstke_d_over_ceq,14
dc_over_at_d,14
dc_over_act_d,14
dc_over_invt,14
dc_over_invt_d,6
dc_over_ppent_d,14
dc_over_lt_d,7
dc_over_lct_d,5
dc_over_dltt,14
dc_over_dltt_d,14
dc_over_seq_d,14
dc_over_cogs_d,14
dc_over_xsga,14
dc_over_xsga_d,14
dc_over_emp_d,14
dc_over_mktcap_d,14
dc_d_over_xsga,14
dclo,14
dclo_over_act_d,14
dclo_over_invt_d,14
dclo_over_ppent_d,14
dclo_over_lt_d,14
dclo_over_dltt_d,14
dclo_over_seq_d,14
dclo_over_sale_d,14
dclo_over_emp_d,14
dcom_over_invt,5
dcom_over_ppent,14
dcom_over_ppent_d,14
dcom_over_dltt,2
dcom_over_dltt_d,2
dcom_over_ceq_d,14
dcom_over_mktcap_d,14
dcom_d_over_invt,14
dcom_d_over_dltt,14
dcpstk_over_at_d,14
dcpstk_over_act_d,14
dcpstk_over_invt,14
dcpstk_over_invt_d,14
dcpstk_over_lt_d,15
dcpstk_over_lct_d,15
dcpstk_over_dltt_d,15
dcpstk_over_ceq,15
dcpstk_over_seq_d,4
dcpstk_over_cogs_d,15
dcpstk_over_xsga_d,15
dcpstk_over_emp_d,15
dcpstk_d_over_mktcap,15
dcvsr_over_at_d,15
dcvsr_over_act_d,15
dcvsr_over_invt,15
dcvsr_over_invt_d,15
dcvsr_over_ppent_d,15
dcvsr_over_lt_d,15
