feature,ranking
at_over_ppent_d,1
at_over_ceq_d,1
at_over_icapt,1
at_over_mktcap,1
at_d_over_invt,1
at_d_over_dltt,1
at_d_over_sale,1
at_d_over_xsga,1
at_d_over_mktcap,1
act_over_at_d,1
act_over_invt,1
act_over_ppent_d,1
act_over_dltt_d,1
act_over_ceq_d,1
act_over_icapt_d,1
act_over_mktcap,1
act_over_mktcap_d,1
act_d_over_invt,1
act_d_over_dltt,1
act_d_over_sale,1
act_d_over_xsga,1
act_d_over_mktcap,1
act_pd_minus_pd_lt,1
invt,1
invt_over_act_pd,1
invt_over_lt,1
invt_over_lt_pd,1
invt_over_lct_pd,1
invt_over_dltt,1
invt_over_dltt_d,1
invt_over_ceq_pd,1
invt_over_icapt_pd,1
invt_over_sale_pd,1
invt_over_cogs,1
invt_over_cogs_d,1
invt_over_xsga,1
invt_over_xsga_pd,1
invt_over_emp,1
invt_over_emp_pd,1
invt_over_mktcap,1
invt_over_mktcap_d,1
invt_over_mktcap_pd,1
invt_d_over_ppent,1
invt_d_over_dltt,1
ppent_over_at_d,1
ppent_over_invt_d,1
ppent_over_lt_pd,1
ppent_over_icapt_pd,1
ppent_over_sale_d,1
ppent_over_cogs_d,1
ppent_over_xsga_d,1
ppent_d_over_invt,1
ppent_d_over_lct,1
ppent_d_over_dltt,1
lt_over_act,1
lt_over_lct,1
lt_over_dltt_d,1
lt_over_ceq,1
lt_over_icapt_d,1
lt_over_sale_d,1
lt_over_emp,1
lt_d_over_invt,1
lt_d_over_dltt,1
lt_d_over_cogs,1
lt_d_over_xsga,1
lct_over_invt,1
lct_over_lt_d,1
lct_over_ceq,1
lct_over_ceq_d,1
lct_over_icapt_d,1
lct_over_sale_d,1
lct_over_mktcap,1
lct_over_mktcap_d,1
lct_d_over_invt,1
lct_d_over_lt,1
lct_d_over_dltt,1
lct_d_over_xsga,1
lct_d_over_mktcap,1
dltt_over_at_d,1
dltt_over_act_d,1
dltt_over_act_pd,1
dltt_over_invt,1
dltt_over_mktcap_d,1
ceq_over_mktcap,1
ceq_over_mktcap_d,1
seq_over_invt,1
seq_over_ppent_d,1
seq_over_xsga,1
seq_d_over_ppent,1
icapt_over_dltt,1
icapt_over_seq_pd,1
icapt_over_mktcap_d,1
sale_pd,1
sale_over_at_d,1
sale_over_act,1
sale_over_lt,1
sale_over_emp,1
sale_over_emp_d,1
sale_over_mktcap,1
sale_over_mktcap_d,1
sale_d_over_invt,1
sale_d_over_ppent,1
sale_d_over_dltt,1
sale_d_over_mktcap,1
cogs_over_at_d,1
cogs_over_act_d,1
cogs_over_seq_d,1
cogs_over_icapt,1
cogs_over_sale,1
cogs_over_xsga_d,1
cogs_over_mktcap_pd,1
xsga,1
xsga_over_at,1
xsga_over_at_pd,1
xsga_over_act,1
