feature,ranking
at_over_ppent_d,1
at_over_mktcap,1
at_d_over_sale,1
act_over_ceq_d,1
act_over_mktcap,1
invt_over_dltt_d,1
invt_over_xsga,1
invt_over_mktcap,1
invt_over_mktcap_d,1
ppent_over_xsga_d,1
ppent_d_over_lct,1
lt_over_lct,1
lt_d_over_cogs,1
lct_over_mktcap_d,1
lct_d_over_mktcap,1
dltt_over_mktcap_d,1
icapt_over_dltt,1
icapt_over_seq_pd,1
icapt_over_mktcap_d,1
sale_over_act,1
sale_over_emp_d,1
sale_over_mktcap_d,1
sale_d_over_mktcap,1
cogs_over_at_d,1
cogs_over_sale,1
xsga,1
xsga_over_at,1
xsga_over_act_d,1
xsga_over_mktcap,1
xsga_over_mktcap_d,1
xsga_d_over_xsga,1
xsga_d_over_mktcap,1
emp_over_dltt_d,1
emp_over_seq,1
emp_over_xsga,1
emp_over_mktcap,1
emp_d_over_sale,1
acox_over_act,1
acox_d_over_xsga,1
ao_over_dltt,1
ao_over_dltt_d,1
ao_d_over_xsga,1
aoloch_over_ppent,1
aox_over_cogs_d,1
ap_over_ppent_d,1
ap_over_lct,1
ap_over_icapt_d,1
ap_over_sale,1
ap_over_emp_d,1
ap_over_mktcap,1
ap_d_over_invt,1
ap_d_over_ppent,1
ap_pd_minus_pd_at,1
caps_pd,1
caps_over_ceq_pd,1
caps_over_sale_d,1
caps_over_xsga,1
caps_over_xsga_d,1
caps_over_emp_d,1
caps_over_mktcap,1
caps_d_over_ppent,1
caps_d_over_xsga,1
caps_pd_minus_pd_act,1
capx_over_lct,1
capx_over_lct_pd,1
capx_over_ceq,1
capx_d_over_ppent,1
capxv_d_over_invt,1
ceqt_over_act_d,1
ceqt_over_mktcap,1
ceqt_d_over_xsga,1
che,1
cld4_over_emp_d,1
cld4_over_mktcap_d,1
cstk_over_dltt,1
cstk_d_over_ppent,1
cstk_pd_minus_pd_sale,1
cstkcv_over_lt_d,1
cstkcv_over_emp_d,1
cstke_over_xsga_d,1
dclo_over_lct_d,1
dclo_over_mktcap_d,1
dclo_d_over_mktcap,1
dcpstk_over_ppent_d,1
dcpstk_over_mktcap_d,1
dcvsr_d_over_act,1
dcvsub_over_act_d,1
dcvsub_over_sale,1
dd_over_mktcap_d,1
dd1_over_mktcap,1
dd4_over_emp_d,1
dd5_over_mktcap,1
diladj_d_over_act,1
dlc_over_mktcap,1
dlc_over_mktcap_d,1
dlc_d_over_lt,1
dltis_d_over_emp,1
dltp_over_ppent_d,1
dltp_over_dltt,1
dltp_over_mktcap,1
dltr_pd_minus_pd_seq,1
dm_over_ceq_d,1
dm_over_mktcap_d,1
dm_d_over_mktcap,1
dn_over_mktcap_d,1
dp_over_at_d,1
dp_over_xsga,1
dp_over_emp,1
dpact_over_xsga,1
dpact_over_xsga_d,1
dpact_pd_minus_pd_dltt,1
dpc_over_mktcap,1
dpc_pd_minus_pd_cogs,1
dpvieb,1
dpvieb_over_at_d,1
dpvieb_over_lct_d,1
dpvieb_over_icapt_d,1
dpvieb_over_sale,1
dpvieb_over_sale_pd,1
dpvieb_over_cogs,1
dpvieb_over_emp,1
dpvieb_over_emp_pd,1
dpvieb_over_mktcap,1
dpvieb_over_mktcap_d,1
dpvieb_over_mktcap_pd,1
dpvieb_d_over_ppent,1
dpvieb_d_over_mktcap,1
drc_over_sale,1
drc_d_over_ceq,1
drlt_over_invt,1
drlt_over_lt_d,1
drlt_over_dltt_d,1
drlt_over_cogs_d,1
drlt_over_mktcap_d,1
dvp_over_invt,1
dvp_over_ppent,1
dvpa_over_act_d,1
dvpa_over_icapt_d,1
dvpa_over_xsga_d,1
dvpa_over_mktcap_d,1
dxd3_over_mktcap_d,1
ebit_over_emp_d,1
ebitda_over_act_d,1
ebitda_over_seq,1
ebitda_over_seq_d,1
ebitda_over_mktcap,1
ebitda_over_mktcap_d,1
esopnr_over_at_d,1
esopnr_over_act_d,1
esopnr_over_lt_d,1
fate_over_at_d,1
fatl_over_cogs_pd,1
fatl_over_xsga_d,1
fatl_over_mktcap_d,1
fatl_d_over_sale,1
fatn_over_act_d,1
fatn_over_lct_d,1
fatn_over_emp_d,1
fatp_over_dltt_d,1
fatp_over_mktcap_d,1
fatp_d_over_mktcap,1
fincf_over_at,1
fincf_d_over_invt,1
